name,county_name
Ballinabrannagh,Carlow Co.
Ballon,Carlow Co.
Borris,Carlow Co.
Fennagh,Carlow Co.
Hacketstown,Carlow Co.
Kernanstown,Carlow Co.
Kildavin,Carlow Co.
Leighlinbridge,Carlow Co.
Muinebeag (Bagenalstown),Carlow Co.
Myshall,Carlow Co.
Palatine,Carlow Co.
Rathtoe,Carlow Co.
Rathvilly,Carlow Co.
Tinriland (Tinryland),Carlow Co.
Tullow,Carlow Co.
Graiguenamanagh-Tinnahinch,Carlow Co.
Carlow,Carlow Co.
Bunclody-Carrickduff,Carlow Co.
Clonegal,Carlow Co.
Arva,Cavan Co.
Bailieborough,Cavan Co.
Ballinagh,Cavan Co.
Ballyconnell,Cavan Co.
Ballyhaise,Cavan Co.
Ballyjamesduff,Cavan Co.
Belturbet,Cavan Co.
Blacklion,Cavan Co.
Butlersbridge,Cavan Co.
Cavan,Cavan Co.
Cootehill,Cavan Co.
Killeshandra,Cavan Co.
Kilnaleck,Cavan Co.
Kingscourt,Cavan Co.
Lough Gowna,Cavan Co.
Mullagh,Cavan Co.
Shercock,Cavan Co.
Swanlinbar,Cavan Co.
Virginia,Cavan Co.
Ardnacrusha (Castlebank),Clare Co.
Ardskeagh,Clare Co.
Ballycannan,Clare Co.
Ballyvaughan,Clare Co.
Bunratty,Clare Co.
Clonlara,Clare Co.
Corofin,Clare Co.
Cratloe,Clare Co.
Crusheen,Clare Co.
Doonbeg,Clare Co.
Ennis,Clare Co.
Ennistymon,Clare Co.
Feakle,Clare Co.
Inagh,Clare Co.
Kildysart,Clare Co.
Kilfenora,Clare Co.
Kilkee,Clare Co.
Kilkishen,Clare Co.
Killaloe,Clare Co.
Kilmihill,Clare Co.
Kilmurry (Ballymulcashel),Clare Co.
Kilrush,Clare Co.
Lahinch,Clare Co.
Liscannor,Clare Co.
Lisdoonvarna,Clare Co.
Lissycasey,Clare Co.
Miltown Malbay,Clare Co.
Mountshannon,Clare Co.
Newmarket-on-Fergus,Clare Co.
Quilty,Clare Co.
Quin,Clare Co.
Scarriff,Clare Co.
Shannon,Clare Co.
Sixmilebridge,Clare Co.
Tulla,Clare Co.
Whitegate,Clare Co.
O'Briensbridge-Montpelier,Clare Co.
Aghada-Farsid-Rostellan,Cork Co.
Baile Mhic Íre (Ballymakeery),Cork Co.
Ballineen/Enniskean,Cork Co.
Ballinspittle,Cork Co.
Ballyclogh,Cork Co.
Ballycotton,Cork Co.
Ballydehob,Cork Co.
Ballydesmond,Cork Co.
Ballygarvan,Cork Co.
Ballyhooly,Cork Co.
Ballymacoda,Cork Co.
Ballynoe,Cork Co.
Baltimore,Cork Co.
Bandon,Cork Co.
Banteer,Cork Co.
Bantry,Cork Co.
Béal Átha an Ghaorthaidh (Ballingeary),Cork Co.
Belgooly,Cork Co.
Blarney,Cork Co.
Boherbue,Cork Co.
Bridebridge,Cork Co.
Buttevant,Cork Co.
Bweeng,Cork Co.
Carrigaline,Cork Co.
Carrignavar,Cork Co.
Carrigtwohill,Cork Co.
Castlelyons,Cork Co.
Castlemagner,Cork Co.
Castlemartyr,Cork Co.
Castletownbere,Cork Co.
Castletownroche,Cork Co.
Castletownsend,Cork Co.
Churchbay,Cork Co.
Churchtown,Cork Co.
Clonakilty,Cork Co.
Clondrohid,Cork Co.
Clondulane,Cork Co.
Cloughduv,Cork Co.
Cloyne,Cork Co.
Coachford,Cork Co.
Cobh,Cork Co.
Conna,Cork Co.
Cork,Cork Co.
Courtmacsherry,Cork Co.
Crookstown,Cork Co.
Crossbarry,Cork Co.
Crosshaven,Cork Co.
Doneraile,Cork Co.
Drimoleague,Cork Co.
Dromina,Cork Co.
Drommahane,Cork Co.
Dunderrow,Cork Co.
Dunmanway,Cork Co.
Durrus,Cork Co.
Farran,Cork Co.
Fermoy,Cork Co.
Fountainstown,Cork Co.
Glanworth,Cork Co.
Grenagh,Cork Co.
Halfway,Cork Co.
Inchigeelagh,Cork Co.
Innishannon,Cork Co.
Kanturk,Cork Co.
Kilbrin,Cork Co.
Kilbrittain,Cork Co.
Kilcrohane,Cork Co.
Kildorrery,Cork Co.
Killavullen,Cork Co.
Killeagh,Cork Co.
Killumney,Cork Co.
Kilworth,Cork Co.
Kinsale,Cork Co.
Knockglass,Cork Co.
Knocknagree,Cork Co.
Knockraha,Cork Co.
Leap,Cork Co.
Liscarroll,Cork Co.
Lyre,Cork Co.
Macroom,Cork Co.
Mallow,Cork Co.
Midleton,Cork Co.
Milford,Cork Co.
Millstreet,Cork Co.
Mitchelstown,Cork Co.
Model Village (Dripsey),Cork Co.
Mogeely,Cork Co.
Newmarket,Cork Co.
Newtown,Cork Co.
Passage West,Cork Co.
Rathard,Cork Co.
Rathcoole,Cork Co.
Rathcormac,Cork Co.
Rathluirc (Charleville),Cork Co.
Ringaskiddy (Loughbeg),Cork Co.
Riverstick,Cork Co.
Rosscarbery,Cork Co.
Saleen,Cork Co.
Schull,Cork Co.
Shanagarry,Cork Co.
Shanbally,Cork Co.
Shanballymore,Cork Co.
Skibbereen,Cork Co.
Timoleague,Cork Co.
Tower,Cork Co.
Unionhall,Cork Co.
Watergrasshill,Cork Co.
Whitechurch,Cork Co.
Whitegate,Cork Co.
Ailt an Chorráin (Burtonport),Donegal Co.
Anagaire (Annagry),Donegal Co.
An Bun Beag-Doirí Beaga (Bunbeg-Derrybeg),Donegal Co.
An Charraig (Carrick),Donegal Co.
An Clochán Liath (Dungloe),Donegal Co.
"An Fál Carrach (Falcarragh, Cross Roads)",Donegal Co.
Ardara,Donegal Co.
Ballintra,Donegal Co.
Ballybofey-Stranorlar,Donegal Co.
Ballyliffin,Donegal Co.
Ballyshannon,Donegal Co.
Bridge End,Donegal Co.
Buncrana,Donegal Co.
Bundoran,Donegal Co.
Bun na Leaca (Brinlack),Donegal Co.
Burnfoot,Donegal Co.
Carndonagh,Donegal Co.
Carraig Airt,Donegal Co.
Carrigans,Donegal Co.
Carrowkeel,Donegal Co.
Castlefin,Donegal Co.
Cill Charthaigh (Kilcar),Donegal Co.
Clonmany,Donegal Co.
Cnoc na Muirleog (Crocknamurleog),Donegal Co.
Convoy,Donegal Co.
Creeslough,Donegal Co.
Culdaff,Donegal Co.
Donegal,Donegal Co.
Drumkeen,Donegal Co.
Dunfanaghy,Donegal Co.
Dunkineely,Donegal Co.
Fahan,Donegal Co.
Gleann Cholm Cille,Donegal Co.
Gleneely,Donegal Co.
Glenties,Donegal Co.
Gort an Choirce,Donegal Co.
Greencastle,Donegal Co.
Kildrum,Donegal Co.
Killybegs,Donegal Co.
Killygordan,Donegal Co.
Kilmacrennan,Donegal Co.
Laghy,Donegal Co.
Letterkenny,Donegal Co.
Lifford,Donegal Co.
Loch an Iúir (Loughanure),Donegal Co.
Malin,Donegal Co.
Manorcunningham,Donegal Co.
Milford,Donegal Co.
Mín Lárach (Meenlaragh),Donegal Co.
Mountcharles,Donegal Co.
Moville,Donegal Co.
Muff,Donegal Co.
Newtowncunningham,Donegal Co.
Pettigo (Irish part),Donegal Co.
Quigleys Point,Donegal Co.
Ramelton,Donegal Co.
Rann na Feirste,Donegal Co.
Raphoe,Donegal Co.
Rathmullen,Donegal Co.
St. Johnston,Donegal Co.
Tievebane,Donegal Co.
Dublin,Dublin Co.
Glencullen,Dun Laoghaire-Rathdown Co.
Balbriggan,Fingal Co.
Ballyboghil,Fingal Co.
Balrothery,Fingal Co.
Donabate,Fingal Co.
Garristown,Fingal Co.
Kinsaley,Fingal Co.
Kinsealy-Drinan,Fingal Co.
Loughshinny,Fingal Co.
Lusk,Fingal Co.
Malahide,Fingal Co.
Naul,Fingal Co.
Oldtown,Fingal Co.
Portmarnock,Fingal Co.
Portrane,Fingal Co.
Rivermeade,Fingal Co.
Rush,Fingal Co.
Skerries,Fingal Co.
Swords,Fingal Co.
Ahascragh,Galway Co.
An Cheathrú Rua (Carraroe),Galway Co.
Annaghdown,Galway Co.
An Spidéal (Spiddle),Galway Co.
Athenry,Galway Co.
Baile Chláir (Claregalway),Galway Co.
Ballygar,Galway Co.
Bearna,Galway Co.
Cill Rónáin (Kilronan),Galway Co.
Clarinbridge,Galway Co.
Clifden,Galway Co.
Cluain Bú (Cloonboo),Galway Co.
Corrofin,Galway Co.
Craughwell,Galway Co.
Dunmore,Galway Co.
Eyrecourt,Galway Co.
Galway,Galway Co.
Glenamaddy,Galway Co.
Gort,Galway Co.
Headford,Galway Co.
Killimor,Galway Co.
Kinvara,Galway Co.
Lackaghbeg,Galway Co.
Letterfrack,Galway Co.
Loughrea,Galway Co.
Maigh Cuilinn (Moycullen),Galway Co.
Milltown,Galway Co.
Monivea,Galway Co.
Mount Bellew,Galway Co.
Moylough,Galway Co.
Na Forbacha (Furbogh),Galway Co.
Oranmore,Galway Co.
Oughterard,Galway Co.
Portumna,Galway Co.
Rosscahill,Galway Co.
Roundstone,Galway Co.
Tuam,Galway Co.
Williamstown,Galway Co.
Woodford,Galway Co.
Cong,Galway Co.
Ballinasloe,Galway Co.
Abbeydorney,Kerry Co.
An Daingean (Dingle),Kerry Co.
Annascaul,Kerry Co.
Ardfert,Kerry Co.
Ballybunion,Kerry Co.
Ballyduff,Kerry Co.
Ballyheigue,Kerry Co.
Ballylongford,Kerry Co.
Beaufort,Kerry Co.
Brosna,Kerry Co.
Cahirciveen,Kerry Co.
Castlegregory,Kerry Co.
Castleisland,Kerry Co.
Castlemaine,Kerry Co.
Causeway,Kerry Co.
Cromane,Kerry Co.
Duagh,Kerry Co.
Fenit,Kerry Co.
Fieries,Kerry Co.
Glenbeigh,Kerry Co.
Gneevgullia,Kerry Co.
Kenmare,Kerry Co.
Kilcummin,Kerry Co.
Kilflynn,Kerry Co.
Kilgarvan,Kerry Co.
Killarney,Kerry Co.
Killorglin,Kerry Co.
Knightstown,Kerry Co.
Listowel,Kerry Co.
Lixnaw,Kerry Co.
Milltown,Kerry Co.
Newtownsandes,Kerry Co.
Portmagee,Kerry Co.
Rathmore,Kerry Co.
Sneem,Kerry Co.
Spa,Kerry Co.
Tarbert,Kerry Co.
Tralee,Kerry Co.
Waterville-Spunkane,Kerry Co.
Allenwood,Kildare Co.
Athgarvan,Kildare Co.
Athy,Kildare Co.
Ballymore Eustace,Kildare Co.
Ballyoulster,Kildare Co.
Ballyroe,Kildare Co.
Ballysax,Kildare Co.
Ballytore,Kildare Co.
Brownstown,Kildare Co.
Calverstown,Kildare Co.
Carragh,Kildare Co.
Castledermot,Kildare Co.
Celbridge,Kildare Co.
Clane,Kildare Co.
Coill Dubh (Blackwood),Kildare Co.
Derrinturn,Kildare Co.
Droichead Nua (Newbridge),Kildare Co.
Grangemore,Kildare Co.
Johnstown,Kildare Co.
Johnstownbridge,Kildare Co.
Kilberry,Kildare Co.
Kilcock,Kildare Co.
Kilcullen,Kildare Co.
Kildangan,Kildare Co.
Kildare,Kildare Co.
Kill,Kildare Co.
Kilmeade,Kildare Co.
Kilmeage,Kildare Co.
Kilteel,Kildare Co.
Ladytown,Kildare Co.
Leixlip,Kildare Co.
Maddenstown,Kildare Co.
Maynooth,Kildare Co.
Milltown,Kildare Co.
Monasterevan,Kildare Co.
Naas,Kildare Co.
Narraghmore,Kildare Co.
Nurney,Kildare Co.
Prosperous,Kildare Co.
Rathangan,Kildare Co.
Robertstown,Kildare Co.
Sallins,Kildare Co.
Straffan,Kildare Co.
Suncroft,Kildare Co.
Ballyhale,Kilkenny Co.
Ballyragget,Kilkenny Co.
Bennettsbridge,Kilkenny Co.
Callan,Kilkenny Co.
Castlecomer-Donaguile,Kilkenny Co.
Clogh-Chatsworth,Kilkenny Co.
Fiddown,Kilkenny Co.
Freshford,Kilkenny Co.
Goresbridge,Kilkenny Co.
Gowran,Kilkenny Co.
Inistioge,Kilkenny Co.
Johnstown,Kilkenny Co.
Kells,Kilkenny Co.
Kilkenny,Kilkenny Co.
Kilmacow,Kilkenny Co.
Kilmoganny,Kilkenny Co.
Knocktopher,Kilkenny Co.
Lawcus,Kilkenny Co.
Moneenroe,Kilkenny Co.
Mooncoin,Kilkenny Co.
Mullinavat,Kilkenny Co.
Paulstown,Kilkenny Co.
Piltown,Kilkenny Co.
Slieverue,Kilkenny Co.
Thomastown,Kilkenny Co.
Urlingford,Kilkenny Co.
Abbeyleix,Laois Co.
Ballinakill,Laois Co.
Ballybrittas,Laois Co.
Ballycolla,Laois Co.
Ballylinan,Laois Co.
Ballyroan,Laois Co.
Borris-in-Ossory,Laois Co.
Castletown,Laois Co.
Clonaslee,Laois Co.
Durrow,Laois Co.
Emo,Laois Co.
Erril,Laois Co.
Killenard,Laois Co.
Mountmellick,Laois Co.
Mountrath,Laois Co.
Newtown,Laois Co.
Portlaoise (Maryborough),Laois Co.
Rathdowney,Laois Co.
Stradbally,Laois Co.
The Swan,Laois Co.
Portarlington,Laois Co.
Ballinamore,Leitrim Co.
Carrigallen,Leitrim Co.
Dromahair,Leitrim Co.
Drumkeeran,Leitrim Co.
Drumod,Leitrim Co.
Drumshanbo,Leitrim Co.
Drumsna,Leitrim Co.
Kinlough,Leitrim Co.
Leitrim,Leitrim Co.
Manorhamilton,Leitrim Co.
Mohill,Leitrim Co.
Tullaghan,Leitrim Co.
Carrick-on-Shannon,Leitrim Co.
Roosky,Leitrim Co.
Abbeyfeale,Limerick Co.
Adare,Limerick Co.
Annacotty,Limerick Co.
Ardagh,Limerick Co.
Askeaton,Limerick Co.
Athea,Limerick Co.
Ballingarry,Limerick Co.
Ballyagran,Limerick Co.
Ballyhahill,Limerick Co.
Ballylanders,Limerick Co.
Broadford,Limerick Co.
Bruff,Limerick Co.
Bruree,Limerick Co.
Caherconlish,Limerick Co.
Cappamore,Limerick Co.
Carrigkerry,Limerick Co.
Castleconnell,Limerick Co.
Clarina,Limerick Co.
Coonagh,Limerick Co.
Croagh,Limerick Co.
Croom,Limerick Co.
Doon,Limerick Co.
Drumcollogher,Limerick Co.
Fedamore,Limerick Co.
Foynes,Limerick Co.
Galbally,Limerick Co.
Glen,Limerick Co.
Glin,Limerick Co.
Hospital,Limerick Co.
Kildimo,Limerick Co.
Kilfinane,Limerick Co.
Kilmallock,Limerick Co.
Kilteely,Limerick Co.
Knocklong,Limerick Co.
Moroe,Limerick Co.
Mountcollins,Limerick Co.
Mungret,Limerick Co.
Newcastle West,Limerick Co.
Oola,Limerick Co.
Pallas Grean,Limerick Co.
Pallaskenry,Limerick Co.
Patrickswell,Limerick Co.
Rathkeale,Limerick Co.
Shanagolden,Limerick Co.
Toornafulla,Limerick Co.
Limerick,Limerick Co.
Aughnacliffe,Longford Co.
Ballinalee,Longford Co.
Ballymahon,Longford Co.
Drumlish,Longford Co.
Granard,Longford Co.
Keenagh,Longford Co.
Killashee,Longford Co.
Legan,Longford Co.
Longford,Longford Co.
Meathas Truim (Edgeworthstown),Longford Co.
Newtownforbes,Longford Co.
Lanesborough-Ballyleague,Longford Co.
Annagassan,Louth Co.
Ardee,Louth Co.
Baltray,Louth Co.
Beaulieu,Louth Co.
Carlingford,Louth Co.
Castlebellingham/Kilsaran,Louth Co.
Clogherhead,Louth Co.
Collon,Louth Co.
Dromiskin,Louth Co.
Dundalk,Louth Co.
Dunleer,Louth Co.
Jenkinstown,Louth Co.
Knockbridge,Louth Co.
Louth,Louth Co.
Omeath,Louth Co.
Tallanstown,Louth Co.
Termonfeckin,Louth Co.
Tinure,Louth Co.
Tullyallen,Louth Co.
Drogheda,Louth Co.
Balla,Mayo Co.
Ballina,Mayo Co.
Ballindine,Mayo Co.
Ballinrobe,Mayo Co.
Ballycastle,Mayo Co.
Ballyhaunis,Mayo Co.
Bangor Erris,Mayo Co.
Béal an Mhuirthead (Belmullet),Mayo Co.
Belcarra,Mayo Co.
Bellavary,Mayo Co.
Bohola,Mayo Co.
Bunnyconnelan West,Mayo Co.
Castlebar,Mayo Co.
Claremorris,Mayo Co.
Crossmolina,Mayo Co.
Foxford,Mayo Co.
Gob an Choire (Achill Sound),Mayo Co.
Keel-Dooagh,Mayo Co.
Kilkelly,Mayo Co.
Killala,Mayo Co.
Kilmaine,Mayo Co.
Kiltimagh,Mayo Co.
Knock,Mayo Co.
Lahardane,Mayo Co.
Louisburgh,Mayo Co.
Mulranny,Mayo Co.
Newport,Mayo Co.
Shrule,Mayo Co.
Swinford,Mayo Co.
Turlough,Mayo Co.
Westport,Mayo Co.
Charlestown-Bellahy,Mayo Co.
Ashbourne,Meath Co.
Athboy,Meath Co.
Balbradagh,Meath Co.
Ballivor,Meath Co.
Balreask,Meath Co.
Carlanstown,Meath Co.
Clonard,Meath Co.
Clonee Village,Meath Co.
Crossakeel,Meath Co.
Donore,Meath Co.
Drumconrath,Meath Co.
Duleek,Meath Co.
Dunboyne,Meath Co.
Dunderry,Meath Co.
Dunshaughlin,Meath Co.
Enfield,Meath Co.
Gormanston,Meath Co.
Julianstown/Whitecross,Meath Co.
Kells (Ceannanus Mór),Meath Co.
Kentstown,Meath Co.
Kilcloon,Meath Co.
Kildalkey,Meath Co.
Kilmainham,Meath Co.
Kilmessan,Meath Co.
Laytown-Bettystown-Mornington,Meath Co.
Longwood,Meath Co.
Navan (An Uaimh),Meath Co.
Nobber,Meath Co.
Oldcastle,Meath Co.
Rathmolyon,Meath Co.
